,Player,Market Value (Millions USD),Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog
362,Enda Stevens,3.85,23.0,1.0,15.0,30.0,30.0,30.0,2700.0,30.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,1.1,1.1,1.6,2.7,0.04,0.05,0.09,0.04,0.09,53.0,23.0,29.0,18.0,6.0,21.0,58.0,36.2,37.0,417.0,92.0,22.1,195.0,154.0,68.0,60.0,14.0,1.0,46.0,47.0,100.0,95.0,2.0,1106.0,1427.0,77.5,19176.0,8176.0,557.0,610.0,91.3,424.0,529.0,80.2,112.0,238.0,47.1,-0.6,18.0,88.0,30.0,8.0,116.0
363,Max Lowe,3.3,16.0,1.0,15.0,23.0,8.0,7.0,550.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.01,0.03,0.04,0.01,0.04,23.0,14.0,20.0,2.0,1.0,7.0,20.0,35.0,13.0,130.0,37.0,28.5,60.0,51.0,19.0,21.0,3.0,0.0,18.0,3.0,26.0,12.0,1.0,145.0,223.0,65.0,2360.0,772.0,79.0,99.0,79.8,50.0,75.0,66.7,13.0,34.0,38.2,-0.2,3.0,14.0,5.0,1.0,16.0
364,Jack Robinson,2.2,16.0,1.0,15.0,26.0,11.0,9.0,877.0,9.7,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1,0.4,0.4,0.9,1.2,0.04,0.09,0.13,0.04,0.13,16.0,10.0,10.0,5.0,1.0,6.0,7.0,85.7,1.0,79.0,25.0,31.6,40.0,28.0,11.0,12.0,5.0,0.0,7.0,17.0,33.0,60.0,0.0,354.0,439.0,80.6,6743.0,2333.0,144.0,157.0,91.7,154.0,180.0,85.6,51.0,89.0,57.3,0.1,1.0,24.0,1.0,0.0,20.0
366,Jayden Bogle,7.7,16.0,1.0,15.0,20.0,16.0,12.0,1110.0,12.3,2.0,0.0,2.0,0.16,0.0,0.16,0.16,0.16,1.8,1.8,0.2,2.0,0.14,0.01,0.16,0.14,0.16,36.0,16.0,21.0,14.0,1.0,20.0,35.0,57.1,15.0,234.0,67.0,28.6,109.0,80.0,45.0,26.0,4.0,0.0,22.0,20.0,56.0,22.0,0.0,300.0,383.0,78.3,4772.0,1869.0,172.0,196.0,87.8,87.0,108.0,80.6,30.0,53.0,56.6,-0.2,4.0,17.0,7.0,1.0,23.0
367,George Baldock,5.5,16.0,1.0,15.0,27.0,32.0,32.0,2787.0,31.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,1.1,1.1,1.7,2.8,0.04,0.05,0.09,0.04,0.09,55.0,27.0,31.0,17.0,7.0,24.0,49.0,49.0,25.0,464.0,113.0,24.4,198.0,174.0,92.0,46.0,8.0,1.0,38.0,35.0,90.0,82.0,0.0,911.0,1160.0,78.5,13856.0,4559.0,530.0,578.0,91.7,302.0,386.0,78.2,53.0,121.0,43.8,0.3,17.0,39.0,29.0,8.0,61.0
368,Sander Berge,19.8,38.0,7.0,15.0,22.0,15.0,13.0,1120.0,12.4,1.0,1.0,0.0,0.08,0.08,0.16,0.0,0.08,1.2,0.5,1.2,1.7,0.1,0.1,0.2,0.04,0.14,21.0,16.0,9.0,8.0,4.0,5.0,17.0,29.4,12.0,217.0,63.0,29.0,70.0,115.0,32.0,20.0,2.0,0.0,18.0,3.0,24.0,19.0,1.0,380.0,464.0,81.9,6911.0,1423.0,164.0,197.0,83.2,163.0,184.0,88.6,45.0,63.0,71.4,-0.2,12.0,33.0,4.0,2.0,30.0
370,John Lundstram,7.7,16.0,7.0,15.0,26.0,28.0,23.0,2032.0,22.6,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09,2.0,1.3,1.2,2.5,0.09,0.05,0.14,0.06,0.11,26.0,12.0,9.0,14.0,3.0,9.0,43.0,20.9,34.0,350.0,75.0,21.4,108.0,172.0,70.0,39.0,8.0,0.0,31.0,21.0,47.0,34.0,1.0,843.0,1041.0,81.0,15138.0,3357.0,392.0,423.0,92.7,335.0,380.0,88.2,95.0,191.0,49.7,0.8,19.0,59.0,12.0,2.0,59.0
371,John Fleck,5.5,44.0,7.0,15.0,28.0,31.0,29.0,2575.0,28.6,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,0.9,0.9,2.7,3.5,0.03,0.09,0.12,0.03,0.12,46.0,27.0,26.0,16.0,4.0,16.0,69.0,23.2,53.0,506.0,127.0,25.1,178.0,246.0,82.0,37.0,5.0,0.0,32.0,39.0,85.0,18.0,1.0,946.0,1213.0,78.0,15645.0,4958.0,495.0,544.0,91.0,315.0,384.0,82.0,104.0,226.0,46.0,-0.7,34.0,113.0,25.0,4.0,103.0
372,Oliver Norwood,5.5,37.0,7.0,15.0,29.0,32.0,26.0,2220.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.7,2.1,0.02,0.07,0.09,0.02,0.09,57.0,29.0,22.0,32.0,3.0,17.0,78.0,21.8,61.0,459.0,106.0,23.1,170.0,233.0,56.0,37.0,12.0,1.0,25.0,40.0,97.0,61.0,1.0,1180.0,1483.0,79.6,27097.0,7444.0,350.0,394.0,88.8,544.0,624.0,87.2,277.0,446.0,62.1,-1.7,31.0,131.0,29.0,10.0,106.0
373,Ben Osborn,2.2,16.0,8.0,15.0,25.0,24.0,17.0,1604.0,17.8,1.0,0.0,1.0,0.06,0.0,0.06,0.06,0.06,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,29.0,16.0,17.0,8.0,4.0,11.0,47.0,23.4,36.0,394.0,87.0,22.1,123.0,166.0,105.0,29.0,3.0,0.0,26.0,16.0,45.0,16.0,0.0,663.0,840.0,78.9,10376.0,3744.0,393.0,435.0,90.3,207.0,247.0,83.8,51.0,122.0,41.8,-2.1,19.0,54.0,28.0,11.0,70.0
375,Rhian Brewster,13.2,16.0,4.0,15.0,20.0,27.0,12.0,1128.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,3.4,0.14,0.13,0.27,0.14,0.27,14.0,8.0,1.0,7.0,6.0,0.0,12.0,0.0,12.0,238.0,61.0,25.6,13.0,117.0,108.0,16.0,3.0,0.0,13.0,6.0,20.0,3.0,0.0,156.0,225.0,69.3,2629.0,649.0,86.0,111.0,77.5,47.0,68.0,69.1,20.0,33.0,60.6,-1.7,8.0,13.0,4.0,2.0,14.0
376,Oliver McBurnie,11.0,44.0,4.0,15.0,24.0,23.0,12.0,1324.0,14.7,1.0,0.0,1.0,0.07,0.0,0.07,0.07,0.07,3.1,3.1,1.1,4.1,0.21,0.07,0.28,0.21,0.28,13.0,7.0,6.0,5.0,2.0,5.0,19.0,26.3,14.0,296.0,62.0,20.9,24.0,162.0,110.0,17.0,4.0,0.0,13.0,8.0,21.0,25.0,0.0,268.0,426.0,62.9,3690.0,1051.0,167.0,246.0,67.9,82.0,133.0,61.7,7.0,11.0,63.6,-1.1,14.0,21.0,16.0,0.0,43.0
377,Lys Mousset,9.9,18.0,6.0,15.0,24.0,11.0,2.0,296.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,1.1,0.22,0.1,0.32,0.22,0.32,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,60.0,11.0,18.3,1.0,22.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,50.0,80.0,671.0,93.0,21.0,27.0,77.8,15.0,18.0,83.3,2.0,3.0,66.7,-0.3,3.0,5.0,0.0,0.0,3.0
378,Oliver Burke,6.6,44.0,4.0,15.0,23.0,25.0,14.0,1269.0,14.1,1.0,1.0,1.0,0.07,0.07,0.14,0.07,0.14,2.4,2.4,1.8,4.2,0.17,0.13,0.3,0.17,0.3,18.0,10.0,6.0,9.0,3.0,5.0,28.0,17.9,23.0,415.0,76.0,18.3,35.0,188.0,192.0,21.0,0.0,0.0,21.0,2.0,20.0,4.0,0.0,185.0,262.0,70.6,2434.0,326.0,114.0,147.0,77.6,52.0,67.0,77.6,5.0,12.0,41.7,-0.8,13.0,5.0,8.0,1.0,11.0
379,David McGoldrick,1.65,23.0,6.0,15.0,32.0,35.0,28.0,2397.0,26.6,8.0,1.0,8.0,0.3,0.04,0.34,0.3,0.34,6.9,6.9,1.3,8.2,0.26,0.05,0.31,0.26,0.31,30.0,16.0,6.0,16.0,8.0,9.0,34.0,26.5,25.0,434.0,105.0,24.2,70.0,191.0,173.0,36.0,4.0,0.0,32.0,12.0,42.0,29.0,0.0,699.0,940.0,74.4,11570.0,2027.0,371.0,464.0,80.0,255.0,337.0,75.7,62.0,95.0,65.3,-0.3,15.0,48.0,24.0,3.0,68.0
380,Daniel Jebbison,1.1,16.0,4.0,15.0,17.0,4.0,3.0,284.0,3.2,1.0,0.0,1.0,0.32,0.0,0.32,0.32,0.32,1.6,1.6,0.0,1.6,0.5,0.01,0.51,0.5,0.51,4.0,0.0,1.0,2.0,1.0,1.0,3.0,33.3,2.0,61.0,9.0,14.8,3.0,27.0,31.0,8.0,1.0,0.0,7.0,3.0,7.0,0.0,0.0,24.0,34.0,70.6,308.0,38.0,16.0,21.0,76.2,6.0,9.0,66.7,1.0,2.0,50.0,0.0,1.0,2.0,0.0,0.0,1.0
381,Billy Sharp,0.55,16.0,4.0,15.0,34.0,16.0,7.0,735.0,8.2,3.0,0.0,1.0,0.37,0.0,0.37,0.12,0.12,2.7,1.2,0.6,1.8,0.33,0.07,0.4,0.15,0.22,7.0,5.0,0.0,5.0,2.0,3.0,10.0,30.0,7.0,145.0,34.0,23.4,13.0,63.0,69.0,2.0,0.0,0.0,2.0,3.0,10.0,1.0,0.0,86.0,123.0,69.9,1158.0,168.0,46.0,59.0,78.0,31.0,44.0,70.5,0.0,2.0,0.0,-0.6,4.0,2.0,3.0,0.0,6.0
386,Jan Bednarek,27.5,41.0,1.0,16.0,24.0,36.0,36.0,3100.0,34.4,1.0,1.0,1.0,0.03,0.03,0.06,0.03,0.06,1.0,1.0,0.3,1.3,0.03,0.01,0.04,0.03,0.04,48.0,28.0,31.0,16.0,1.0,23.0,53.0,43.4,30.0,284.0,95.0,33.5,169.0,104.0,11.0,59.0,28.0,1.0,31.0,78.0,126.0,216.0,1.0,1697.0,2005.0,84.6,32478.0,10807.0,625.0,675.0,92.6,876.0,961.0,91.2,178.0,332.0,53.6,0.7,5.0,80.0,4.0,0.0,80.0
387,Jannik Vestergaard,19.8,14.0,1.0,16.0,27.0,30.0,29.0,2574.0,28.6,3.0,0.0,3.0,0.1,0.0,0.1,0.1,0.1,2.1,2.1,0.6,2.7,0.07,0.02,0.09,0.07,0.09,61.0,37.0,41.0,17.0,3.0,31.0,54.0,57.4,23.0,215.0,86.0,40.0,143.0,62.0,10.0,38.0,19.0,0.0,19.0,37.0,98.0,159.0,0.0,1444.0,1712.0,84.3,29904.0,10850.0,502.0,542.0,92.6,734.0,825.0,89.0,201.0,321.0,62.6,-0.6,7.0,98.0,9.0,0.0,73.0
388,Mohammed Salisu,11.0,21.0,1.0,16.0,21.0,12.0,8.0,844.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.04,0.0,0.05,0.04,0.05,32.0,19.0,22.0,9.0,1.0,13.0,27.0,48.1,14.0,148.0,60.0,40.5,74.0,63.0,11.0,25.0,5.0,0.0,20.0,26.0,58.0,38.0,0.0,310.0,376.0,82.4,5129.0,1850.0,153.0,168.0,91.1,126.0,148.0,85.1,24.0,40.0,60.0,0.0,1.0,16.0,0.0,0.0,18.0
389,Jack Stephens,5.5,16.0,1.0,16.0,26.0,18.0,17.0,1537.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,1.3,0.04,0.03,0.07,0.04,0.07,37.0,19.0,22.0,14.0,1.0,17.0,38.0,44.7,21.0,168.0,57.0,33.9,94.0,65.0,9.0,41.0,13.0,0.0,28.0,25.0,62.0,84.0,1.0,845.0,1016.0,83.2,17222.0,6271.0,280.0,317.0,88.3,439.0,490.0,89.6,117.0,187.0,62.6,-0.5,8.0,67.0,11.0,0.0,60.0
391,Ryan Bertrand,8.8,16.0,1.0,16.0,30.0,29.0,29.0,2598.0,28.9,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.6,0.6,1.2,1.8,0.02,0.04,0.06,0.02,0.06,71.0,43.0,29.0,36.0,6.0,28.0,48.0,58.3,20.0,317.0,123.0,38.8,121.0,146.0,50.0,47.0,5.0,0.0,42.0,31.0,102.0,56.0,1.0,1181.0,1537.0,76.8,19449.0,7477.0,601.0,682.0,88.1,472.0,593.0,79.6,81.0,189.0,42.9,-0.2,13.0,65.0,24.0,5.0,97.0
393,Kyle Walker-Peters,19.8,16.0,1.0,16.0,23.0,30.0,30.0,2645.0,29.4,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,1.1,1.1,1.4,2.5,0.04,0.05,0.08,0.04,0.08,83.0,43.0,57.0,23.0,3.0,26.0,57.0,45.6,31.0,421.0,126.0,29.9,220.0,159.0,42.0,70.0,15.0,0.0,55.0,40.0,123.0,68.0,1.0,1295.0,1613.0,80.3,21589.0,7161.0,655.0,715.0,91.6,503.0,622.0,80.9,110.0,195.0,56.4,0.6,17.0,59.0,16.0,2.0,92.0
394,Yan Valery,3.3,18.0,3.0,16.0,21.0,3.0,1.0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.27,0.0,0.27,0.27,0.27,3.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,4.0,32.0,9.0,28.1,13.0,11.0,8.0,5.0,0.0,0.0,5.0,3.0,6.0,5.0,0.0,53.0,64.0,82.8,883.0,269.0,25.0,27.0,92.6,26.0,28.0,92.9,2.0,6.0,33.3,0.0,0.0,0.0,2.0,1.0,2.0
395,Ibrahima Diallo,16.5,18.0,7.0,16.0,21.0,22.0,10.0,1020.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,1.2,0.05,0.05,0.11,0.05,0.11,30.0,25.0,14.0,14.0,2.0,9.0,23.0,39.1,14.0,242.0,82.0,33.9,81.0,144.0,17.0,14.0,1.0,0.0,13.0,16.0,46.0,16.0,0.0,500.0,587.0,85.2,8755.0,1972.0,219.0,247.0,88.7,230.0,249.0,92.4,41.0,76.0,53.9,-0.6,8.0,36.0,6.0,1.0,33.0
396,Mario Lemina,11.0,19.0,7.0,8.0,26.0,28.0,19.0,1703.0,18.9,1.0,0.0,1.0,0.05,0.0,0.05,0.05,0.05,0.9,0.9,0.8,1.8,0.05,0.04,0.09,0.05,0.09,61.0,36.0,30.0,23.0,8.0,19.0,40.0,47.5,21.0,317.0,105.0,33.1,123.0,152.0,42.0,28.0,6.0,0.0,22.0,43.0,104.0,37.0,0.0,734.0,860.0,85.3,15079.0,3711.0,244.0,278.0,87.8,358.0,399.0,89.7,116.0,163.0,71.2,-0.8,10.0,60.0,15.0,1.0,56.0
397,Oriol Romeu,6.6,17.0,7.0,16.0,28.0,21.0,20.0,1763.0,19.6,1.0,1.0,1.0,0.05,0.05,0.1,0.05,0.1,0.4,0.4,1.1,1.5,0.02,0.05,0.08,0.02,0.08,68.0,35.0,27.0,37.0,4.0,22.0,65.0,33.8,43.0,344.0,104.0,30.2,129.0,190.0,25.0,32.0,6.0,0.0,26.0,27.0,95.0,19.0,0.0,1042.0,1258.0,82.8,17575.0,3666.0,505.0,576.0,87.7,441.0,501.0,88.0,77.0,141.0,54.6,-0.1,14.0,62.0,15.0,1.0,87.0
398,James Ward-Prowse,33.0,16.0,7.0,16.0,25.0,38.0,38.0,3420.0,38.0,8.0,7.0,5.0,0.21,0.18,0.39,0.13,0.32,5.3,2.2,4.1,6.3,0.14,0.11,0.25,0.06,0.17,84.0,57.0,34.0,43.0,7.0,29.0,74.0,39.2,45.0,630.0,207.0,32.9,220.0,324.0,86.0,71.0,5.0,0.0,66.0,44.0,128.0,76.0,0.0,2117.0,2619.0,80.8,37952.0,10063.0,939.0,1040.0,90.3,914.0,1011.0,90.4,224.0,498.0,45.0,2.9,57.0,155.0,24.0,1.0,155.0
399,Stuart Armstrong,8.8,44.0,7.0,16.0,28.0,33.0,32.0,2764.0,30.7,4.0,5.0,4.0,0.13,0.16,0.29,0.13,0.29,3.0,3.0,2.7,5.7,0.1,0.09,0.18,0.1,0.18,70.0,41.0,27.0,30.0,13.0,30.0,80.0,37.5,50.0,489.0,141.0,28.8,166.0,215.0,108.0,31.0,1.0,0.0,30.0,30.0,100.0,21.0,1.0,1002.0,1258.0,79.7,16614.0,4712.0,515.0,604.0,85.3,383.0,444.0,86.3,85.0,127.0,66.9,2.3,34.0,90.0,40.0,5.0,116.0
402,Nathan Redmond,19.8,16.0,9.0,16.0,26.0,29.0,17.0,1738.0,19.3,2.0,3.0,2.0,0.1,0.16,0.26,0.1,0.26,3.3,3.3,3.3,6.6,0.17,0.17,0.34,0.17,0.34,32.0,17.0,14.0,13.0,5.0,8.0,20.0,40.0,12.0,378.0,106.0,28.0,96.0,157.0,125.0,29.0,2.0,0.0,27.0,18.0,50.0,11.0,0.0,564.0,743.0,75.9,9326.0,2326.0,281.0,338.0,83.1,216.0,280.0,77.1,50.0,76.0,65.8,-0.3,29.0,35.0,31.0,5.0,74.0
403,Moussa Djenepo,14.3,33.0,7.0,16.0,22.0,27.0,15.0,1240.0,13.8,1.0,0.0,1.0,0.07,0.0,0.07,0.07,0.07,0.9,0.9,0.6,1.5,0.07,0.04,0.11,0.07,0.11,46.0,22.0,25.0,11.0,10.0,18.0,53.0,34.0,35.0,332.0,95.0,28.6,122.0,124.0,86.0,27.0,1.0,0.0,26.0,11.0,57.0,16.0,0.0,295.0,400.0,73.8,4570.0,1263.0,160.0,192.0,83.3,111.0,139.0,79.9,18.0,33.0,54.5,-0.6,7.0,17.0,13.0,2.0,24.0
405,Nathan Tella,2.2,16.0,6.0,16.0,21.0,18.0,7.0,745.0,8.3,1.0,1.0,1.0,0.12,0.12,0.24,0.12,0.24,1.8,1.8,0.8,2.6,0.22,0.09,0.31,0.22,0.31,12.0,8.0,1.0,5.0,6.0,5.0,15.0,33.3,10.0,222.0,56.0,25.2,32.0,107.0,83.0,13.0,0.0,0.0,13.0,9.0,21.0,5.0,0.0,107.0,146.0,73.3,1677.0,313.0,60.0,74.0,81.1,33.0,41.0,80.5,9.0,14.0,64.3,0.2,6.0,4.0,8.0,4.0,6.0
407,Danny Ings,24.2,16.0,4.0,16.0,28.0,29.0,26.0,2173.0,24.1,12.0,4.0,10.0,0.5,0.17,0.66,0.41,0.58,8.3,6.7,2.6,9.3,0.34,0.11,0.45,0.28,0.39,25.0,13.0,6.0,16.0,3.0,11.0,33.0,33.3,22.0,391.0,94.0,24.0,55.0,164.0,172.0,47.0,3.0,0.0,44.0,7.0,32.0,17.0,2.0,344.0,519.0,66.3,5196.0,1437.0,202.0,261.0,77.4,103.0,152.0,67.8,27.0,63.0,42.9,1.4,22.0,29.0,19.0,6.0,49.0
411,Shane Long,1.32,23.0,6.0,16.0,33.0,11.0,1.0,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,2.0,0.0,0.0,0.0,2.0,1.0,3.0,33.3,2.0,34.0,7.0,20.6,2.0,19.0,13.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,38.0,59.0,64.4,494.0,168.0,27.0,34.0,79.4,8.0,16.0,50.0,2.0,2.0,100.0,0.0,0.0,3.0,0.0,0.0,4.0
416,Davinson Sánchez,35.2,11.0,1.0,17.0,24.0,18.0,17.0,1486.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.1,0.07,0.0,0.07,0.07,0.07,40.0,25.0,31.0,9.0,0.0,19.0,30.0,63.3,11.0,155.0,49.0,31.6,104.0,44.0,7.0,19.0,12.0,0.0,7.0,14.0,54.0,123.0,0.0,849.0,977.0,86.9,18273.0,4714.0,228.0,250.0,91.2,468.0,505.0,92.7,146.0,204.0,71.6,0.0,0.0,20.0,1.0,0.0,29.0
417,Eric Dier,24.2,16.0,1.0,17.0,26.0,28.0,28.0,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,1.0,0.03,0.0,0.03,0.03,0.03,24.0,15.0,13.0,10.0,1.0,12.0,22.0,54.5,10.0,166.0,48.0,28.9,106.0,52.0,8.0,50.0,34.0,0.0,16.0,23.0,47.0,169.0,0.0,1400.0,1654.0,84.6,31629.0,10688.0,393.0,433.0,90.8,711.0,766.0,92.8,289.0,429.0,67.4,-0.1,3.0,72.0,5.0,0.0,62.0
419,Toby Alderweireld,12.1,5.0,1.0,17.0,31.0,25.0,25.0,2240.0,24.9,1.0,0.0,1.0,0.04,0.0,0.04,0.04,0.04,0.8,0.8,0.3,1.2,0.03,0.01,0.05,0.03,0.05,38.0,19.0,23.0,15.0,0.0,15.0,27.0,55.6,12.0,202.0,74.0,36.6,128.0,71.0,3.0,53.0,32.0,1.0,21.0,15.0,53.0,162.0,0.0,1143.0,1365.0,83.7,27127.0,7537.0,266.0,287.0,92.7,581.0,625.0,93.0,287.0,432.0,66.4,-0.3,7.0,76.0,6.0,1.0,52.0
420,Joe Rodon,11.0,54.0,1.0,17.0,22.0,12.0,8.0,733.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,12.0,3.0,0.0,4.0,5.0,80.0,1.0,78.0,20.0,25.6,55.0,20.0,3.0,15.0,9.0,0.0,6.0,13.0,28.0,51.0,1.0,365.0,411.0,88.8,7783.0,1857.0,101.0,110.0,91.8,206.0,219.0,94.1,56.0,78.0,71.8,0.0,0.0,9.0,0.0,0.0,10.0
421,Japhet Tanganga,8.8,16.0,1.0,17.0,21.0,6.0,6.0,487.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.04,0.0,0.04,0.04,0.04,4.0,4.0,4.0,0.0,0.0,1.0,3.0,33.3,2.0,76.0,22.0,28.9,40.0,24.0,12.0,9.0,4.0,0.0,5.0,2.0,6.0,19.0,0.0,193.0,229.0,84.3,2898.0,1163.0,108.0,120.0,90.0,72.0,81.0,88.9,7.0,17.0,41.2,0.0,0.0,6.0,3.0,1.0,12.0
423,Sergio Reguilón,27.5,17.0,1.0,17.0,23.0,27.0,26.0,2244.0,24.9,0.0,3.0,0.0,0.0,0.12,0.12,0.0,0.12,1.6,1.6,1.7,3.2,0.06,0.07,0.13,0.06,0.13,51.0,27.0,31.0,13.0,7.0,18.0,43.0,41.9,25.0,388.0,112.0,28.9,177.0,141.0,70.0,53.0,7.0,0.0,46.0,35.0,86.0,64.0,0.0,1076.0,1393.0,77.2,18509.0,6530.0,525.0,591.0,88.8,466.0,569.0,81.9,72.0,172.0,41.9,1.3,17.0,60.0,27.0,16.0,82.0
426,Serge Aurier,22.0,8.0,1.0,17.0,27.0,19.0,19.0,1605.0,17.8,2.0,3.0,2.0,0.11,0.17,0.28,0.11,0.28,1.4,1.4,1.9,3.2,0.08,0.11,0.18,0.08,0.18,73.0,38.0,45.0,23.0,5.0,21.0,51.0,41.2,30.0,384.0,112.0,29.2,210.0,126.0,48.0,43.0,6.0,0.0,37.0,24.0,97.0,52.0,2.0,769.0,954.0,80.6,12616.0,5171.0,402.0,446.0,90.1,297.0,373.0,79.6,58.0,99.0,58.6,1.1,12.0,29.0,20.0,6.0,61.0
427,Matt Doherty,17.6,23.0,1.0,17.0,28.0,17.0,13.0,1240.0,13.8,0.0,2.0,0.0,0.0,0.15,0.15,0.0,0.15,0.4,0.4,0.8,1.2,0.03,0.06,0.09,0.03,0.09,23.0,8.0,10.0,8.0,5.0,11.0,34.0,32.4,23.0,186.0,38.0,20.4,80.0,70.0,36.0,41.0,5.0,0.0,36.0,18.0,41.0,54.0,0.0,666.0,826.0,80.6,10945.0,4240.0,359.0,402.0,89.3,249.0,307.0,81.1,47.0,88.0,53.4,1.2,11.0,23.0,14.0,7.0,43.0
428,Harry Winks,22.0,16.0,7.0,17.0,24.0,15.0,9.0,861.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.01,0.03,0.04,0.01,0.04,24.0,14.0,15.0,9.0,0.0,9.0,22.0,40.9,13.0,161.0,52.0,32.3,70.0,74.0,17.0,12.0,4.0,0.0,8.0,16.0,40.0,12.0,0.0,554.0,658.0,84.2,10474.0,2951.0,230.0,252.0,91.3,243.0,270.0,90.0,72.0,110.0,65.5,-0.3,5.0,73.0,6.0,0.0,54.0
432,Giovani Lo Celso,29.7,2.0,7.0,17.0,24.0,18.0,11.0,945.0,10.5,1.0,1.0,1.0,0.1,0.1,0.19,0.1,0.19,1.2,1.2,1.3,2.4,0.11,0.12,0.23,0.11,0.23,33.0,23.0,16.0,11.0,6.0,10.0,31.0,32.3,21.0,290.0,91.0,31.4,94.0,148.0,48.0,11.0,1.0,0.0,10.0,8.0,41.0,9.0,0.0,465.0,589.0,78.9,8364.0,2205.0,223.0,251.0,88.8,170.0,206.0,82.5,62.0,101.0,61.4,-0.3,14.0,44.0,11.0,0.0,58.0
433,Moussa Sissoko,11.0,18.0,7.0,17.0,30.0,25.0,15.0,1585.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,0.02,0.03,0.05,0.02,0.05,25.0,20.0,21.0,3.0,1.0,7.0,21.0,33.3,14.0,242.0,75.0,31.0,135.0,84.0,23.0,27.0,5.0,0.0,22.0,16.0,41.0,32.0,0.0,666.0,792.0,84.1,11832.0,2567.0,295.0,339.0,87.0,285.0,317.0,89.9,71.0,105.0,67.6,-0.5,5.0,50.0,6.0,2.0,36.0
434,Dele Alli,33.0,16.0,7.0,17.0,24.0,15.0,7.0,620.0,6.9,0.0,1.0,0.0,0.0,0.15,0.15,0.0,0.15,1.3,1.3,0.9,2.2,0.19,0.13,0.32,0.19,0.32,20.0,15.0,9.0,8.0,3.0,6.0,17.0,35.3,11.0,218.0,58.0,26.6,44.0,98.0,76.0,13.0,1.0,0.0,12.0,10.0,30.0,4.0,0.0,270.0,337.0,80.1,4654.0,1070.0,124.0,145.0,85.5,116.0,132.0,87.9,26.0,39.0,66.7,0.1,8.0,17.0,9.0,1.0,27.0
