,Player,Market Value (Millions USD),Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog
210,Cheikhou Kouyaté,6.6,45.0,1.0,6.0,30.0,36.0,35.0,3121.0,34.7,1.0,0.0,1.0,0.03,0.0,0.03,0.03,0.03,0.8,0.8,0.2,1.0,0.02,0.01,0.03,0.02,0.03,70.0,36.0,53.0,14.0,3.0,26.0,45.0,57.8,19.0,350.0,109.0,31.1,230.0,102.0,18.0,62.0,28.0,0.0,34.0,38.0,108.0,162.0,2.0,959.0,1217.0,78.8,19698.0,6299.0,332.0,390.0,85.1,433.0,497.0,87.1,176.0,295.0,59.7,-0.2,6.0,39.0,3.0,1.0,33.0
211,Mamadou Sakho,6.6,18.0,1.0,6.0,30.0,4.0,3.0,276.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,4.0,2.0,1.0,3.0,0.0,3.0,3.0,100.0,0.0,14.0,6.0,42.9,8.0,6.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,14.0,1.0,72.0,82.0,87.8,1518.0,639.0,22.0,26.0,84.6,33.0,33.0,100.0,16.0,22.0,72.7,0.0,0.0,2.0,0.0,0.0,3.0
213,James Tomkins,2.75,16.0,1.0,6.0,31.0,8.0,6.0,553.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.03,0.01,0.04,0.03,0.04,6.0,4.0,4.0,2.0,0.0,5.0,6.0,83.3,1.0,39.0,11.0,28.2,30.0,9.0,0.0,8.0,3.0,0.0,5.0,5.0,11.0,52.0,0.0,129.0,164.0,78.7,2909.0,907.0,32.0,36.0,88.9,67.0,72.0,93.1,29.0,52.0,55.8,-0.1,1.0,12.0,0.0,0.0,4.0
214,Scott Dann,1.65,16.0,1.0,6.0,33.0,15.0,15.0,1350.0,15.0,1.0,0.0,1.0,0.07,0.0,0.07,0.07,0.07,0.3,0.3,0.0,0.4,0.02,0.0,0.02,0.02,0.02,10.0,7.0,9.0,1.0,0.0,3.0,12.0,25.0,9.0,62.0,17.0,27.4,41.0,20.0,1.0,26.0,16.0,0.0,10.0,8.0,18.0,75.0,1.0,508.0,604.0,84.1,10396.0,4758.0,162.0,179.0,90.5,273.0,294.0,92.9,70.0,121.0,57.9,0.0,1.0,24.0,0.0,0.0,28.0
215,Gary Cahill,1.65,16.0,1.0,6.0,34.0,20.0,20.0,1800.0,20.0,1.0,1.0,1.0,0.05,0.05,0.1,0.05,0.1,0.7,0.7,0.7,1.4,0.03,0.04,0.07,0.03,0.07,13.0,7.0,10.0,3.0,0.0,4.0,10.0,40.0,6.0,101.0,29.0,28.7,66.0,27.0,8.0,45.0,28.0,0.0,17.0,19.0,32.0,127.0,2.0,590.0,697.0,84.6,12855.0,4415.0,164.0,191.0,85.9,328.0,351.0,93.4,94.0,148.0,63.5,0.3,8.0,34.0,1.0,0.0,34.0
218,Patrick van Aanholt,7.7,35.0,1.0,6.0,29.0,22.0,20.0,1777.0,19.7,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,1.2,1.2,0.8,2.0,0.06,0.04,0.1,0.06,0.1,33.0,19.0,21.0,11.0,1.0,15.0,42.0,35.7,27.0,206.0,69.0,33.5,130.0,56.0,20.0,31.0,7.0,1.0,24.0,34.0,67.0,40.0,1.0,889.0,1127.0,78.9,14909.0,6947.0,454.0,512.0,88.7,339.0,417.0,81.3,79.0,152.0,52.0,0.2,11.0,68.0,26.0,4.0,112.0
219,Tyrick Mitchell,7.7,16.0,1.0,6.0,20.0,19.0,19.0,1710.0,19.0,1.0,1.0,1.0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,0.4,0.8,0.02,0.02,0.04,0.02,0.04,69.0,29.0,52.0,8.0,9.0,19.0,35.0,54.3,16.0,404.0,98.0,24.3,275.0,88.0,41.0,51.0,8.0,0.0,43.0,30.0,99.0,67.0,1.0,547.0,779.0,70.2,8911.0,5506.0,274.0,322.0,85.1,220.0,308.0,71.4,40.0,92.0,43.5,0.6,3.0,50.0,10.0,6.0,55.0
220,Nathaniel Clyne,3.3,16.0,1.0,6.0,29.0,13.0,13.0,1145.0,12.7,0.0,1.0,0.0,0.0,0.08,0.08,0.0,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,21.0,9.0,14.0,7.0,0.0,9.0,16.0,56.3,7.0,117.0,31.0,26.5,73.0,29.0,15.0,25.0,2.0,0.0,23.0,13.0,34.0,32.0,0.0,437.0,569.0,76.8,6908.0,2752.0,232.0,258.0,89.9,164.0,205.0,80.0,30.0,75.0,40.0,0.6,4.0,20.0,13.0,6.0,25.0
221,Joel Ward,2.75,16.0,1.0,6.0,30.0,26.0,25.0,2256.0,25.1,0.0,1.0,0.0,0.0,0.04,0.04,0.0,0.04,0.1,0.1,0.4,0.5,0.0,0.02,0.02,0.0,0.02,46.0,26.0,35.0,11.0,0.0,19.0,39.0,48.7,20.0,356.0,92.0,25.8,203.0,109.0,44.0,49.0,9.0,0.0,40.0,52.0,98.0,115.0,1.0,783.0,1078.0,72.6,13152.0,6479.0,391.0,447.0,87.5,295.0,395.0,74.7,73.0,171.0,42.7,0.6,7.0,61.0,10.0,2.0,69.0
225,James McCarthy,3.3,23.0,7.0,6.0,29.0,16.0,10.0,821.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.03,0.03,0.0,0.03,18.0,8.0,12.0,6.0,0.0,10.0,25.0,40.0,15.0,181.0,42.0,23.2,86.0,82.0,13.0,20.0,8.0,0.0,12.0,8.0,26.0,12.0,0.0,254.0,329.0,77.2,5343.0,1306.0,84.0,100.0,84.0,116.0,137.0,84.7,49.0,79.0,62.0,-0.3,6.0,26.0,4.0,3.0,24.0
226,James McArthur,2.2,44.0,7.0,6.0,32.0,18.0,17.0,1466.0,16.3,0.0,2.0,0.0,0.0,0.12,0.12,0.0,0.12,0.2,0.2,0.9,1.1,0.01,0.05,0.07,0.01,0.07,56.0,26.0,29.0,22.0,5.0,18.0,45.0,40.0,27.0,378.0,102.0,27.0,159.0,182.0,37.0,39.0,4.0,0.0,35.0,23.0,79.0,25.0,0.0,627.0,769.0,81.5,11897.0,3424.0,240.0,276.0,87.0,288.0,327.0,88.1,83.0,128.0,64.8,1.1,13.0,63.0,6.0,0.0,60.0
227,Jeffrey Schlupp,9.9,21.0,7.0,6.0,27.0,27.0,15.0,1428.0,15.9,2.0,3.0,2.0,0.13,0.19,0.32,0.13,0.32,1.6,1.6,1.7,3.3,0.1,0.11,0.21,0.1,0.21,37.0,20.0,17.0,13.0,7.0,8.0,24.0,33.3,16.0,247.0,68.0,27.5,87.0,114.0,46.0,35.0,8.0,0.0,27.0,21.0,58.0,15.0,1.0,304.0,429.0,70.9,4887.0,1406.0,156.0,203.0,76.8,118.0,159.0,74.2,21.0,39.0,53.8,1.3,17.0,31.0,10.0,2.0,36.0
