Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog,Player_is_missing,Nation_is_missing,Pos_is_missing,Squad_is_missing
Michy Batshuayi,5,4,6,26,18,7,728,8.1,2,1,2,0.25,0.12,0.37,0.25,0.37,1.4,1.4,1.4,2.8,0.17,0.18,0.35,0.17,0.35,3,3,1,2,0,2,9,22.2,7,109,21,19.3,8,54,47,10,1,0,9,2,5,5,1,118,168,70.2,1722,350,63,81,77.8,39,55,70.9,8,10,80,-0.4,7,7,4,1,11,FALSE,FALSE,FALSE,FALSE
Jan Bednarek,41,1,16,24,36,36,3100,34.4,1,1,1,0.03,0.03,0.06,0.03,0.06,1,1,0.3,1.3,0.03,0.01,0.04,0.03,0.04,48,28,31,16,1,23,53,43.4,30,284,95,33.5,169,104,11,59,28,1,31,78,126,216,1,1697,2005,84.6,32478,10807,625,675,92.6,876,961,91.2,178,332,53.6,0.7,5,80,4,0,80,FALSE,FALSE,FALSE,FALSE
Donny van de Beek,35,9,13,23,19,4,524,5.8,1,1,1,0.17,0.17,0.34,0.17,0.34,0.3,0.3,1,1.3,0.05,0.17,0.22,0.05,0.22,12,9,3,6,3,3,13,23.1,10,105,32,30.5,21,59,25,11,1,0,10,7,19,9,0,235,279,84.2,3651,758,126,141,89.4,94,102,92.2,11,17,64.7,0,3,11,2,1,10,FALSE,FALSE,FALSE,FALSE
Héctor Bellerín,17,1,1,25,25,24,2089,23.2,1,2,1,0.04,0.09,0.13,0.04,0.13,0.8,0.8,2.4,3.2,0.04,0.1,0.14,0.04,0.14,34,18,18,13,3,12,41,29.3,29,223,62,27.8,87,100,36,50,9,0,41,13,47,41,0,1079,1302,82.9,18140,5147,499,576,86.6,496,573,86.6,63,101,62.4,-0.4,22,61,29,9,88,FALSE,FALSE,FALSE,FALSE
Saïd Benrahma,1,6,19,24,30,14,1391,15.5,1,6,1,0.06,0.39,0.45,0.06,0.45,2.3,2.3,4.4,6.6,0.15,0.28,0.43,0.15,0.43,31,21,10,15,6,8,28,28.6,20,287,73,25.4,81,142,64,15,0,0,15,13,44,10,0,411,527,78,6393,1825,236,264,89.4,132,166,79.5,29,66,43.9,1.6,27,41,22,6,47,FALSE,FALSE,FALSE,FALSE
Josh Benson,16,7,4,20,6,2,264,2.9,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06,8,5,5,1,2,4,8,50,4,36,12,33.3,15,17,4,3,1,0,2,1,9,2,0,62,85,72.9,865,322,38,42,90.5,17,24,70.8,4,12,33.3,0,0,4,0,0,7,FALSE,FALSE,FALSE,FALSE
Christian Benteke,5,4,6,29,30,21,1816,20.2,10,1,10,0.5,0.05,0.55,0.5,0.55,8.1,8.1,1,9.1,0.4,0.05,0.45,0.4,0.45,13,9,1,5,7,0,8,0,8,240,57,23.8,16,129,95,17,6,1,11,5,18,37,0,366,573,63.9,5051,990,217,326,66.6,103,171,60.2,21,30,70,0,15,25,14,2,33,FALSE,FALSE,FALSE,FALSE
Gaetano Berardi,48,1,9,31,2,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,3,2,2,0,1,1,1,100,0,14,6,42.9,9,4,1,2,1,0,1,2,5,5,0,46,56,82.1,898,426,14,16,87.5,27,30,90,5,9,55.6,0,0,2,1,0,3,FALSE,FALSE,FALSE,FALSE
Jóhann Berg Guðmundsson,25,7,4,29,22,16,1363,15.1,2,0,2,0.13,0,0.13,0.13,0.13,1.7,1.7,0.5,2.2,0.11,0.03,0.14,0.11,0.14,19,14,6,9,4,10,23,43.5,13,166,48,28.9,48,72,46,19,2,0,17,17,36,14,0,356,472,75.4,6119,1493,190,220,86.4,113,143,79,44,91,48.4,-0.5,10,19,15,5,34,FALSE,FALSE,FALSE,FALSE
Sander Berge,38,7,15,22,15,13,1120,12.4,1,1,0,0.08,0.08,0.16,0,0.08,1.2,0.5,1.2,1.7,0.1,0.1,0.2,0.04,0.14,21,16,9,8,4,5,17,29.4,12,217,63,29,70,115,32,20,2,0,18,3,24,19,1,380,464,81.9,6911,1423,164,197,83.2,163,184,88.6,45,63,71.4,-0.2,12,33,4,2,30,FALSE,FALSE,FALSE,FALSE
Steven Bergwijn,35,6,17,22,21,13,1208,13.4,1,3,1,0.07,0.22,0.3,0.07,0.3,2.5,2.5,1.3,3.7,0.18,0.09,0.28,0.18,0.28,16,10,7,3,6,6,24,25,18,241,63,26.1,59,95,87,10,1,0,9,12,28,5,0,347,428,81.1,4842,849,216,242,89.3,104,128,81.3,9,31,29,1.7,14,21,9,0,18,FALSE,FALSE,FALSE,FALSE
Bernard,7,9,7,27,12,3,455,5.1,1,0,1,0.2,0,0.2,0.2,0.2,0.2,0.2,0.7,0.9,0.04,0.13,0.18,0.04,0.18,5,4,1,2,2,3,12,25,9,79,18,22.8,26,35,18,9,0,0,9,7,12,3,0,216,272,79.4,3591,923,108,122,88.5,81,102,79.4,21,29,72.4,-0.7,10,21,11,2,23,FALSE,FALSE,FALSE,FALSE
Bernardo,7,3,3,25,3,2,206,2.3,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.13,0.09,0.22,0.13,0.22,8,5,6,1,1,4,6,66.7,2,34,13,38.2,15,9,10,6,0,0,6,0,8,3,0,62,87,71.3,1042,288,32,38,84.2,24,34,70.6,5,6,83.3,-0.2,2,3,2,1,6,FALSE,FALSE,FALSE,FALSE
