Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog
Séamus Coleman,IRL,DFMF,Everton,31.0,25,18,1613,17.9,0,3,0,0.0,0.17,0.17,0.0,0.17,1.2,1.2,1.9,3.1,0.06,0.11,0.17,0.06,0.17,39,26,25,9,5,17,40,42.5,23,242,73,30.2,134,72,36,39,9,0,30,22,61,38,1,625,767,81.5,11163,4088,299,329,90.9,249,293,85.0,72,119,60.5,1.1,18,32,14,5,43
Aaron Connolly,IRL,FW,Brighton,20.0,17,9,791,8.8,2,1,2,0.23,0.11,0.34,0.23,0.34,3.5,3.5,0.2,3.7,0.4,0.02,0.42,0.4,0.42,7,5,2,4,1,1,5,20.0,4,124,40,32.3,7,58,59,9,1,0,8,0,7,1,0,79,101,78.2,1147,165,45,56,80.4,26,30,86.7,4,5,80.0,0.8,5,2,1,0,3
Liam Cooper,SCO,DF,Leeds United,28.0,25,25,2185,24.3,1,0,1,0.04,0.0,0.04,0.04,0.04,1.3,1.3,0.0,1.3,0.05,0.0,0.05,0.05,0.05,76,47,48,27,1,34,58,58.6,24,291,115,39.5,181,102,8,45,31,0,14,53,129,123,1,1363,1555,87.7,31575,9368,291,312,93.3,784,821,95.5,285,407,70.0,0.0,0,78,3,0,67
Jack Cork,ENG,MF,Burnley,31.0,16,15,1350,15.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.8,0.02,0.04,0.06,0.02,0.06,25,16,6,15,4,9,27,33.3,18,234,71,30.3,58,121,55,20,6,0,14,15,40,24,0,413,499,82.8,6590,1287,215,243,88.5,147,162,90.7,36,61,59.0,-0.6,7,39,3,0,26
Hélder Costa,POR,MFFW,Leeds United,26.0,22,13,1156,12.8,3,3,3,0.23,0.23,0.47,0.23,0.47,2.0,2.0,0.9,2.9,0.16,0.07,0.23,0.16,0.23,30,15,14,7,9,9,32,28.1,23,265,72,27.2,93,102,70,19,0,0,19,6,36,9,0,242,328,73.8,3298,882,158,180,87.8,68,93,73.1,7,23,30.4,2.1,9,7,13,4,16
Vladimír Coufal,CZE,DF,West Ham,27.0,34,34,3054,33.9,0,7,0,0.0,0.21,0.21,0.0,0.21,1.2,1.2,4.6,5.8,0.04,0.14,0.17,0.04,0.17,77,41,57,17,3,44,93,47.3,49,457,126,27.6,247,140,70,74,5,0,69,39,116,122,1,1200,1693,70.9,20585,10174,575,654,87.9,486,661,73.5,119,292,40.8,2.4,46,82,40,23,119
Aaron Cresswell,ENG,DF,West Ham,30.0,36,36,3170,35.2,0,8,0,0.0,0.23,0.23,0.0,0.23,0.9,0.9,5.9,6.9,0.03,0.17,0.19,0.03,0.19,31,13,15,14,2,14,34,41.2,20,230,67,29.1,122,90,18,48,14,0,34,36,67,98,0,1541,2061,74.8,30884,14764,655,736,89.0,616,736,83.7,252,518,48.6,2.1,60,149,24,17,120
Stuart Dallas,NIR,DFMF,Leeds United,29.0,38,38,3409,37.9,8,2,8,0.21,0.05,0.26,0.21,0.26,4.6,4.6,2.1,6.7,0.12,0.05,0.18,0.12,0.18,79,52,46,28,5,29,100,29.0,71,587,190,32.4,223,279,85,55,3,0,52,59,138,55,1,1813,2212,82.0,31713,9947,899,988,91.0,709,841,84.3,183,304,60.2,-0.1,27,141,38,9,182
Scott Dann,ENG,DF,Crystal Palace,33.0,15,15,1350,15.0,1,0,1,0.07,0.0,0.07,0.07,0.07,0.3,0.3,0.0,0.4,0.02,0.0,0.02,0.02,0.02,10,7,9,1,0,3,12,25.0,9,62,17,27.4,41,20,1,26,16,0,10,8,18,75,1,508,604,84.1,10396,4758,162,179,90.5,273,294,92.9,70,121,57.9,0.0,1,24,0,0,28
Ben Davies,WAL,DF,Tottenham,27.0,20,14,1346,15.0,0,1,0,0.0,0.07,0.07,0.0,0.07,0.2,0.2,0.6,0.9,0.01,0.04,0.06,0.01,0.06,26,13,14,8,4,10,29,34.5,19,184,42,22.8,91,64,29,24,5,0,19,13,39,72,0,610,783,77.9,10908,4213,266,295,90.2,282,332,84.9,53,127,41.7,0.4,7,42,9,4,43
